# x y error_dist error_ang_rad delta_f_rad delta_r_rad omega_rads
-2.328546662994316341e-01 -1.272286207799166458e-01 5.736715190748771231e-01 -2.778198987138212672e+00 -3.146018366025516433e-01 3.926990816987241395e-01 -8.932640717979377643e-01
-2.362984501255442071e-01 -1.502413961156547351e-01 5.825367203495176449e-01 -2.739123605710171105e+00 -4.146018366025516766e-01 3.926990816987241395e-01 -1.047740628328950763e+00
-2.385400335727422827e-01 -1.641114995219175587e-01 5.884194244245318783e-01 -2.715244833577373118e+00 -5.146018366025516544e-01 3.926990816987241395e-01 -1.213543315325894323e+00
-2.426450157945326258e-01 -1.864855715516327006e-01 5.989472129921128429e-01 -2.674967797481055065e+00 -6.146018366025516322e-01 3.926990816987241395e-01 -1.412259968803794674e+00
-2.457742889335477465e-01 -2.006405420828414055e-01 6.064565335126392842e-01 -2.647926200234025362e+00 -7.146018366025516100e-01 3.926990816987241395e-01 -1.636507871139601056e+00
-2.487906994788158244e-01 -2.146943530066501293e-01 6.140751394873746882e-01 -2.621312499657777906e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.828280822271990402e+00
-2.523790158224354929e-01 -2.279136313349890697e-01 6.221583245584354493e-01 -2.594282508143972432e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.852346822176550001e+00
-2.573206685525851745e-01 -2.419903447134952590e-01 6.320139595162577173e-01 -2.556838472404336926e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.881689922435814344e+00
-2.615145392953563408e-01 -2.512249199062779326e-01 6.394615396033731525e-01 -2.530693590529316861e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.903863540890674333e+00
-2.677199077213487932e-01 -2.655317895794552241e-01 6.508769559274798500e-01 -2.495480037566130793e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.937850565281594051e+00
-2.719418147280320830e-01 -2.785191616787057178e-01 6.601076952051673219e-01 -2.473812095788388010e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -1.965333168812616771e+00
-2.785534826428746058e-01 -2.973711696012619199e-01 6.742079607926454443e-01 -2.438790629429027135e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.007313772658667617e+00
-2.836620053315074275e-01 -3.119665097867168613e-01 6.853160831129319064e-01 -2.415588090404298338e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.040385893159400776e+00
-2.910006752399909580e-01 -3.281288665999759768e-01 6.992949621718500541e-01 -2.382071445355219641e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.082005093900233472e+00
-2.962127166481850482e-01 -3.415260387418024290e-01 7.102459354473672493e-01 -2.358637026341962262e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.114609335852699612e+00
-3.019543209770231273e-01 -3.561398441260058001e-01 7.223772559134585824e-01 -2.335522824793672569e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.150727815710890667e+00
-3.096700997922523513e-01 -3.774843282982279780e-01 7.397606127034213053e-01 -2.304183432375594087e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.202483139778123711e+00
-3.152083726998509139e-01 -3.926432860619960552e-01 7.523281696756269898e-01 -2.284444756003511490e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.239900422969681504e+00
-3.238177442307523801e-01 -4.142613680070247328e-01 7.710807128917380737e-01 -2.250639194817738886e+00 -7.853981633974482790e-01 3.926990816987241395e-01 -2.295732214433285012e+00
